Price,Close,High,Low,Open,Volume
Ticker,FDX,FDX,FDX,FDX,FDX
Datetime,,,,,
2023-06-01 13:30:00+00:00,214.80999755859375,217.9499969482422,213.80499267578125,217.50999450683594,497616
2023-06-01 14:30:00+00:00,217.24000549316406,217.38999938964844,214.17999267578125,214.80999755859375,326226
2023-06-01 15:30:00+00:00,217.24000549316406,217.57000732421875,216.36000061035156,217.36000061035156,198300
2023-06-01 16:30:00+00:00,217.38999938964844,217.63999938964844,216.92999267578125,217.3300018310547,144661
2023-06-01 17:30:00+00:00,217.6300048828125,217.9600067138672,216.94000244140625,217.3800048828125,163688
2023-06-01 18:30:00+00:00,216.99000549316406,217.69500732421875,216.97000122070312,217.6300048828125,209734
2023-06-01 19:30:00+00:00,217.2899932861328,217.3800048828125,216.44000244140625,216.97999572753906,400731
2023-06-02 13:30:00+00:00,220.4499969482422,220.7100067138672,218.32000732421875,218.52999877929688,217860
2023-06-02 14:30:00+00:00,221.07000732421875,221.75999450683594,219.85000610351562,220.4600067138672,190788
2023-06-02 15:30:00+00:00,221.6300048828125,221.6999969482422,220.58999633789062,221.02999877929688,105709
2023-06-02 16:30:00+00:00,222.50999450683594,222.5800018310547,221.32000732421875,221.67999267578125,108659
2023-06-02 17:30:00+00:00,221.32000732421875,222.65499877929688,221.14999389648438,222.5,168815
2023-06-02 18:30:00+00:00,221.3800048828125,222.27000427246094,221.2550048828125,221.3699951171875,188759
2023-06-02 19:30:00+00:00,221.67999267578125,221.8699951171875,221.1999969482422,221.42999267578125,327576
2023-06-05 13:30:00+00:00,221.97999572753906,222.95889282226562,220.4949951171875,221.68600463867188,487313
2023-06-05 14:30:00+00:00,222.4499969482422,222.6699981689453,221.74000549316406,221.9199981689453,150303
2023-06-05 15:30:00+00:00,222.6800994873047,223.20989990234375,222.27999877929688,222.4199981689453,102536
2023-06-05 16:30:00+00:00,221.90499877929688,223.0,221.75999450683594,222.73500061035156,88564
2023-06-05 17:30:00+00:00,221.22500610351562,221.88999938964844,220.77099609375,221.88999938964844,112323
2023-06-05 18:30:00+00:00,221.0500030517578,221.72000122070312,220.35000610351562,221.27999877929688,175723
2023-06-05 19:30:00+00:00,221.1199951171875,221.51499938964844,220.94000244140625,221.0399932861328,225059
2023-06-06 13:30:00+00:00,219.4499969482422,220.49000549316406,218.5500030517578,220.0,176540
2023-06-06 14:30:00+00:00,220.24000549316406,220.24000549316406,219.44000244140625,219.61000061035156,172206
2023-06-06 15:30:00+00:00,219.9499969482422,220.69000244140625,219.63999938964844,220.25,119841
2023-06-06 16:30:00+00:00,219.48899841308594,220.1999969482422,219.10000610351562,219.99000549316406,259998
2023-06-06 17:30:00+00:00,219.1999969482422,219.75999450683594,218.6999969482422,219.49989318847656,88229
2023-06-06 18:30:00+00:00,219.3350067138672,219.3800048828125,218.8000030517578,219.22999572753906,150841
2023-06-06 19:30:00+00:00,219.47999572753906,219.5399932861328,218.97999572753906,219.3699951171875,342603
2023-06-07 13:30:00+00:00,221.9499969482422,222.77999877929688,220.02000427246094,220.46499633789062,374985
2023-06-07 14:30:00+00:00,222.25,222.47000122070312,221.16929626464844,221.94500732421875,164658
2023-06-07 15:30:00+00:00,220.93499755859375,222.25,220.39999389648438,222.1750030517578,168499
2023-06-07 16:30:00+00:00,221.72999572753906,222.14999389648438,220.7899932861328,220.93499755859375,253775
2023-06-07 17:30:00+00:00,222.33900451660156,222.3800048828125,221.50999450683594,221.6999969482422,158931
